id,question,answer,created_at,category,difficulty
30,How does data science extend the capabilities of statistics?,"Data science extends statistics by incorporating computing, data visualization, and machine learning.",2026-02-20 05:28:19.559964,concept_check,2
31,What are the core tasks in statistics?,"Hypothesis testing, estimating confidence, and predicting unknown quantities are core tasks in statistics.",2026-02-20 05:28:19.559964,definition,2
32,What does data science allow regarding analysis and datasets?,Data science allows the analysis of vast datasets using fast computers and the Internet.,2026-02-20 05:28:19.559964,application,1
33,What is the common aim of both statistics and data science?,Both statistics and data science aim to draw robust conclusions from incomplete information.,2026-02-20 05:28:19.559964,concept_check,1
34,Why are real data sets complex to analyze with basic statistical summaries?,"Real data sets don't always follow regular patterns or match standard equations, making them complex to analyze with basic statistical summaries.",2026-02-20 05:28:19.559964,concept_check,2
35,What can happen when focusing too much on simplistic summaries like average values?,Focusing too much on simplistic summaries like average values can lead to losing interesting variations present in real data.,2026-02-20 05:28:19.559964,concept_check,2
36,What are resampling methods in statistics?,"Resampling methods are a family of techniques in statistics that are flexible, require few assumptions, and are suited to a wide range of inference problems.",2026-02-20 05:28:19.559964,definition,1
37,Why are resampling methods suitable for data science applications?,"Though often reserved for advanced statistics courses, resampling methods are suitable for data science applications due to their flexibility and simplicity.",2026-02-20 05:28:19.559964,application,3
38,What motivates the use of statistical techniques that capture variations beyond basic summaries?,"Real data's complexity is a motivation for the use of statistical techniques described in the text, which aim to capture interesting variations beyond basic summaries.",2026-02-20 05:28:19.559964,concept_check,1
39,How does data science reduce uncertainty in decision-making?,Data science reduces uncertainty in decision-making by leveraging large data sets and computational tools.,2026-02-20 05:28:19.559964,concept_check,2
40,Which industries have been transformed by data-driven decision making?,"Data-driven decision making has transformed industries like finance, advertising, manufacturing, and real estate.",2026-02-20 05:28:19.559964,concept_check,1
41,What are academic disciplines incorporating into their theory and practice?,Academic disciplines are incorporating large-scale data analysis into their theory and practice.,2026-02-20 05:28:19.559964,definition,2
42,What does studying data science enable individuals to do?,"Studying data science enables individuals to apply data analysis techniques to work, scientific endeavors, and personal decisions.",2026-02-20 05:28:19.559964,concept_check,1
43,Why is a critical analysis supported by data more effective?,A critical analysis supported by data is more effective than critiques without data support.,2026-02-20 05:28:19.559964,application,2
44,What does inductive reasoning involve and where is it commonly used?,"Inductive reasoning involves drawing conclusions that can be supported but not proven outright, which is common in fields like business and social science.",2026-02-20 05:28:19.559964,definition,2
45,What does data science enable with regard to the analysis of observations?,"Data science enables precise, reliable, and quantitative analysis of observations.",2026-02-20 05:28:19.559964,concept_check,2
46,Why are effective inferential techniques considered essential?,Effective inferential techniques are essential for critical thinking about any measurable aspect of the world.,2026-02-20 05:28:19.559964,concept_check,2
47,Why is it important for all educated members of society to develop the ability to reason about data?,"It is important for all educated members of society to develop the ability to reason about data, not just specialists.",2026-02-20 05:28:19.559964,application,1
48,"How can tools, techniques, and datasets for data science be made accessible?","Tools, techniques, and datasets for data science are readily available and can be made accessible to everyone.",2026-02-20 05:28:19.559964,application,1
49,How can Python be used in relation to public domain books?,Python can be used to load texts of public domain books from the web for analysis.,2026-02-20 05:28:19.559964,concept_check,2
50,How are 'The Adventures of Huckleberry Finn' and 'Little Women' organized in the example?,"In the example, the text of 'The Adventures of Huckleberry Finn' and 'Little Women' are divided into lists of chapters.",2026-02-20 05:28:19.559964,concept_check,1
51,What character is used in Python names in place of spaces?,"In Python, underscores are used in place of spaces within names.",2026-02-20 05:28:19.559964,concept_check,1
52,What symbol is used to start comments in Python?,Comments in Python start with the # symbol and are ignored by the computer.,2026-02-20 05:28:19.559964,concept_check,1
53,What does URL stand for and what is its purpose?,"A URL, or uniform resource locator, is an Internet address for some content.",2026-02-20 05:28:19.559964,definition,2
54,What can the text structure of a book reveal?,"The text structure of a book can show insights, such as how each chapter begins.",2026-02-20 05:28:19.559964,concept_check,3
55,What does the conversion to uppercase involve?,"The conversion to uppercase involves changing all letters in a word to their capital form, such as converting 'pter' to 'PTER'.",2026-02-20 05:28:19.559964,concept_check,1
56,What does the term 'uppercase' mean regarding letters?,"The term 'uppercase' means that letters are capitalized, typically used to emphasize or differentiate text.",2026-02-20 05:28:19.559964,concept_check,1
57,Why is uppercase conversion important in programming?,"Uppercase conversion is important in programming for cases where text uniformity is required, such as standardizing input.",2026-02-20 05:28:19.559964,application,2
58,"In data analysis, what can be made based on the relationships between different quantities?","In data analysis, predictions can be made based on the relationships between different quantities.",2026-02-20 05:28:19.559964,concept_check,1
59,"What is possible when combining multiple sources of information, even if each source is uncertain?","To make accurate predictions, it is possible to combine multiple sources of information, even if each source is uncertain.",2026-02-20 05:28:19.559964,concept_check,2
60,"In text analysis, what can the term 'character' refer to?","In the context of text analysis, 'character' can refer to any printed symbol such as a letter, number, or punctuation mark.",2026-02-20 05:28:19.559964,definition,1
61,What can computers efficiently count in texts that would be time-consuming to do manually?,"Computers can efficiently count characters and punctuation in texts, which would be time-consuming to do manually.",2026-02-20 05:28:19.559964,application,1
62,How can visualizing data from multiple sources aid decision-making?,Visualizing data from multiple sources can help simplify the combination of information and support decision-making.,2026-02-20 05:28:19.559964,application,2
63,How does the number of periods in a chapter generally correlate with the chapter's length?,The number of periods in a chapter generally correlates with the chapter's length; shorter chapters tend to have fewer periods.,2026-02-20 05:28:19.559964,concept_check,1
64,What can plotting variables such as chapter length and number of periods reveal?,Plotting variables such as chapter length and number of periods can reveal differences between books.,2026-02-20 05:28:19.559964,application,2
65,What affects the predictability of the correlation between chapter length and number of periods?,"Despite the general correlation between chapter length and number of periods, sentences vary in length and punctuation, affecting predictability.",2026-02-20 05:28:19.559964,concept_check,2
66,How can different colored dots be used in visual data comparison?,"In visual data comparison, different colored dots can represent data from distinct sources, such as different books.",2026-02-20 05:28:19.559964,application,2
67,What does an observational study involve?,An observational study involves making conclusions based on data observed without the researchers influencing the process that generates the data.,2026-02-20 05:28:19.559964,definition,2
68,What is causality about?,Causality is about establishing a cause-and-effect relationship between variables.,2026-02-20 05:28:19.559964,concept_check,1
69,What does assigning a cause to an effect involve?,Assigning a cause to an effect involves understanding the relationship between variables through careful data analysis.,2026-02-20 05:28:19.559964,application,2
70,Why are observational studies crucial in some situations?,Observational studies are crucial in situations where controlled experiments are not feasible or ethical.,2026-02-20 05:28:19.559964,application,2
71,Why is observation a foundational element of good scientific practice?,"Observation is a foundational element of good scientific practice, as it allows researchers to gather data and infer conclusions.",2026-02-20 05:28:19.559964,concept_check,1
72,"In an observational study, what can individuals be other than people?","In an observational study, individuals can be entities other than people, such as states.",2026-02-20 05:28:19.559964,concept_check,1
73,What is a treatment in a study?,A treatment in a study is an intervention or variable that is applied to the individuals.,2026-02-20 05:28:19.559964,definition,1
74,What does an association between treatment and outcome indicate?,"An association between treatment and outcome indicates a relationship, but does not necessarily mean causation.",2026-02-20 05:28:19.559964,concept_check,2
75,What does causality imply in a study?,Causality implies that the treatment is responsible for the occurrence of the outcome.,2026-02-20 05:28:19.559964,definition,2
76,"In a study on the death penalty as a deterrent, what can serve as individuals and what can be the outcomes?","In a study examining if the death penalty serves as a deterrent, the 50 states can serve as individuals, with state murder rates as outcomes.",2026-02-20 05:28:19.559964,application,2
77,What does establishing causality in scientific studies usually involve?,The establishment of causality in scientific studies usually involves two stages: observing an association and then conducting a more careful analysis to determine if causation is present.,2026-02-20 05:28:19.559964,concept_check,2
78,What is a key distinction in scientific analysis concerning relationships between variables?,"One of the key distinctions in scientific analysis is between association and causation, where association indicates a relationship, but not necessarily that one variable causes changes in another.",2026-02-20 05:28:19.559964,definition,2
79,What does determining causality require beyond observing an association?,Determining causality requires more than observing a simple association; it involves rigorous analysis to confirm that one factor directly affects another.,2026-02-20 05:28:19.559964,concept_check,3
80,What is necessary after observing an association to establish causality?,Observing an association is only the first step in establishing causality; further detailed investigation is necessary to reach conclusions about cause and effect.,2026-02-20 05:28:19.559964,application,2
81,Why is it important to have a treatment group and a control group that are comparable except for the treatment being analyzed?,"In establishing causality, it is important to have a treatment group and a control group that are comparable except for the treatment being analyzed.",2026-02-20 05:28:19.559964,concept_check,2
82,What is the difference between a treatment group and a control group?,"The treatment group refers to the group that receives the specific treatment or condition being studied, while the control group does not.",2026-02-20 05:28:19.559964,definition,1
83,Why is comparability between groups in an experimental study important?,Comparability between groups in an experimental study allows researchers to attribute differences in outcomes specifically to the treatment variable.,2026-02-20 05:28:19.559964,concept_check,2
84,What challenge arises when treatment and control groups differ in multiple ways?,"If treatment and control groups differ in multiple ways, it can be challenging to determine the specific cause of observed differences in outcomes.",2026-02-20 05:28:19.559964,application,3
85,What is a confounding factor in observational studies?,"In observational studies, a confounding factor is an underlying difference between treatment and control groups that can make it difficult to determine causality.",2026-02-20 05:28:19.559964,concept_check,2
86,How can a confounding factor affect the results of an observational study?,A confounding factor can confound or mess up the interpretation of results in an observational study.,2026-02-20 05:28:19.559964,concept_check,2
87,What are confounding factors in the context of variables and outcomes?,Confounding factors are variables that can lead to a false association between a studied variable and an outcome.,2026-02-20 05:28:19.559964,definition,2
88,Why are observational studies prone to misleading conclusions?,"Observational studies are prone to confounding factors, which can mislead conclusions if not properly accounted for.",2026-02-20 05:28:19.559964,application,3
89,What do good observational studies do to ensure accurate results?,Good observational studies make efforts to identify and adjust for confounding factors to ensure accurate results.,2026-02-20 05:28:19.559964,application,3
90,What is the purpose of using randomization in assigning individuals to treatment and control groups?,"Randomization is used to assign individuals to treatment and control groups to avoid confounding, ensuring the groups are similar except for the treatment.",2026-02-20 05:28:19.559964,definition,1
91,What is a randomized controlled experiment or randomized controlled trial (RCT)?,"A randomized controlled experiment, also known as a randomized controlled trial (RCT), is conducted by randomizing individuals into treatment and control groups.",2026-02-20 05:28:19.559964,concept_check,1
92,What is the purpose of a blind experiment?,"In a blind experiment, individuals do not know whether they are in the treatment or control group to prevent their responses from being influenced by this knowledge.",2026-02-20 05:28:19.559964,concept_check,2
93,What is the role of a placebo in a blind experiment?,A placebo is used in control groups during blind experiments to mimic the treatment without providing any actual effect.,2026-02-20 05:28:19.559964,application,2
94,"In which fields, other than medicine, are RCTs being increasingly used?","RCTs are being increasingly used in fields other than medicine, such as economics, to test the efficacy of programs and interventions.",2026-02-20 05:28:19.559964,concept_check,2
95,How does randomization help in eliminating confounding factors in an experiment?,Randomization eliminates confounding factors by ensuring that each group in an experiment is statistically similar at the start.,2026-02-20 05:28:19.559964,concept_check,2
96,What role does the control group play in an experiment?,"The control group in an experiment is the group that does not receive the treatment, allowing for comparison with the treatment group.",2026-02-20 05:28:19.559964,definition,2
97,What is a 'natural experiment' and how does it differ from true randomization?,"A 'natural experiment' involves an observational study where subjects are divided into groups without their choice, unlike true randomization which requires precise probabilistic methods.",2026-02-20 05:28:19.559964,concept_check,2
98,What is required for true randomization to ensure group formation by chance?,"True randomization requires carefully defined probabilistic steps to ensure the treatment and control groups are formed by chance, not choice.",2026-02-20 05:28:19.559964,definition,2
99,How do randomization methods vary in complexity?,Randomization methods can vary in complexity from simple techniques like coin tossing to more complex algorithms.,2026-02-20 05:28:19.559964,concept_check,1
100,Why is it crucial to carry out randomization carefully?,"Carrying out randomization carefully is crucial, as it enables mathematical accounting for differences between treatment and control groups.",2026-02-20 05:28:19.559964,application,3
101,What is the purpose of randomization in experiments?,"The purpose of randomization in experiments is to ensure neither the participants' choice nor the researcher’s bias affects the group assignment, thus maintaining objectivity.",2026-02-20 05:28:19.559964,concept_check,2
102,"What allows us to make precise mathematical statements about differences between treatment and control groups, helping to draw justifiable conclusions about causal effects?","Randomized controlled experiments allow us to make precise mathematical statements about differences between treatment and control groups, helping to draw justifiable conclusions about causal effects.",2026-02-20 05:28:19.559964,concept_check,2
103,What type of studies require careful handling of confounding factors when randomization is not possible?,"When randomization is not possible, observational studies are used to investigate causality, though they require careful handling of confounding factors.",2026-02-20 05:28:19.559964,application,3
104,What is crucial for making precise and justifiable conclusions about the effects of treatments in experiments?,Randomization in experiments is crucial for making precise and justifiable conclusions about the effects of treatments.,2026-02-20 05:28:19.559964,definition,1
105,"What are variables that can affect the outcome of an observational study, complicating the interpretation of results?","Confounding factors are variables that can affect the outcome of an observational study, complicating the interpretation of results.",2026-02-20 05:28:19.559964,concept_check,2
106,What is recommended if possible to establish causality?,"To establish causality, a randomized controlled experiment is recommended if possible.",2026-02-20 05:28:19.559964,concept_check,1
107,What can be established in observational studies and what is harder to establish?,"In observational studies, it is possible to establish association but harder to establish causation.",2026-02-20 05:28:19.559964,concept_check,2
108,What must be carefully considered in observational studies to avoid incorrect conclusions about causality?,Confounding factors.,2026-02-20 05:28:19.559964,application,3
109,What is a randomized controlled experiment designed to establish by controlling variables?,A randomized controlled experiment is a method designed to establish cause-and-effect relationships by controlling variables.,2026-02-20 05:28:19.559964,definition,2
110,What is critical in research when considering association and causation?,Association does not imply causation in research.,2026-02-20 05:28:19.559964,concept_check,2
111,What does programming in Python allow for in terms of data collection and analysis?,"Programming in Python allows for enhanced data collection and analysis, leading to potential discoveries through careful reasoning.",2026-02-20 05:28:19.559964,concept_check,2
112,Why are programs written?,Programs are written to instruct computers to perform specific steps in data analysis.,2026-02-20 05:28:19.559964,definition,1
113,What do computers require from humans to collect and analyze data effectively?,Computers require precise instructions from humans to collect and analyze data effectively.,2026-02-20 05:28:19.559964,concept_check,2
114,Why is it important for people to articulate the exact steps for data analysis when programming?,"People need to articulate the exact steps for data analysis when programming, as computers do not have the ability to study the world independently.",2026-02-20 05:28:19.559964,application,3
115,"What do programming languages have that must be followed, similar to human languages?","Programming languages have rules of grammar that must be followed, similar to human languages.",2026-02-20 05:28:19.559964,concept_check,1
116,What do expressions in programming languages describe?,Expressions in programming languages describe how to combine pieces of data for the computer to evaluate.,2026-02-20 05:28:19.559964,definition,2
117,What symbols does the Python programming language use to perform operations like multiplication in expressions?,"The Python programming language uses symbols, such as '*', to perform operations like multiplication in expressions.",2026-02-20 05:28:19.559964,application,2
118,What is not allowed to appear twice in a row in a Python expression without valid syntax?,"In a Python expression, operators like '*' cannot appear twice in a row without valid syntax.",2026-02-20 05:28:19.559964,concept_check,2
119,What is displayed by the computer after evaluating an expression like 3 * 4?,"The evaluated result of an expression, such as 3 * 4, is displayed by the computer, for example, 12 in this case.",2026-02-20 05:28:19.559964,application,1
120,What does a SyntaxError indicate in programming?,A SyntaxError in programming indicates that an expression structure has violated the language's grammar rules.,2026-02-20 05:28:19.559964,definition,2
121,What are operators in Python?,"In Python, operators are symbols that specify operations to be performed on operands, such as addition or multiplication.",2026-02-20 05:28:19.559964,definition,1
122,How are operators used in programming languages?,"Operators are used in programming languages to perform arithmetic on numerical values, such as adding or exponentiating numbers.",2026-02-20 05:28:19.559964,concept_check,2
123,When is an expression in programming considered wellformed?,"An expression in programming is wellformed if it adheres to the syntax rules of the language, ensuring it can be correctly interpreted.",2026-02-20 05:28:19.559964,concept_check,2
124,How is addition performed in Python?,"Addition in Python is performed using the '+' operator, which sums two numbers together.",2026-02-20 05:28:19.559964,definition,1
125,How does Python handle operator precedence in mathematical expressions?,"Python uses operator precedence, similar to algebra, where multiplication and division occur before addition and subtraction.",2026-02-20 05:28:19.559964,concept_check,2
126,What does the '%' operator do in Python?,The '%' operator in Python is used to find the remainder of the division between two numbers.,2026-02-20 05:28:19.559964,definition,1
127,How can parentheses be used in Python regarding expressions?,"In Python, parentheses can be used to group expressions, allowing you to control the order of operations.",2026-02-20 05:28:19.559964,application,2
128,How is exponentiation performed in Python?,"Exponentiation in Python is performed using the '**' operator, which raises a number to the power of another number.",2026-02-20 05:28:19.559964,definition,1
129,How are values assigned to names in Python?,"In Python, values are assigned to names using an assignment statement, which consists of a name followed by an equals sign and an expression.",2026-02-20 05:28:19.559964,concept_check,1
130,What happens to a name in Python if the value of an expression changes after the assignment?,"The value of an expression assigned to a name is the one evaluated at the time of assignment. If the value changes later, the previously assigned name does not automatically update.",2026-02-20 05:28:19.559964,concept_check,2
131,What are the rules for naming names in Python?,Names in Python must start with a letter but can contain both letters and numbers and cannot contain spaces. Underscores are commonly used to represent spaces.,2026-02-20 05:28:19.559964,definition,1
132,Why is it important to choose clear and descriptive names for variables in Python?,Choosing clear and descriptive names for variables in Python is important for code readability and understanding.,2026-02-20 05:28:19.559964,application,2
133,How do meaningful variable names enhance code readability?,Meaningful variable names enhance code readability by clarifying the purpose of diverse quantities.,2026-02-20 05:28:19.559964,concept_check,1
134,Why is it better to use descriptive names like 'sales_tax' instead of generic names like 'a' or 'b'?,Using descriptive names like 'sales_tax' instead of generic names like 'a' or 'b' helps in understanding code logic.,2026-02-20 05:28:19.559964,definition,2
135,How can descriptive names illustrate the concept of calculating sales tax more effectively?,"In the example given, descriptive names can illustrate the concept of calculating sales tax more effectively than non-descriptive names.",2026-02-20 05:28:19.559964,application,2
136,Why are clear naming conventions essential in programming?,Clear naming conventions are essential in programming to convey the intent and significance of variables.,2026-02-20 05:28:19.559964,concept_check,1
137,What expresses the relationship between two measurements of the same quantity taken at different times by dividing the difference between the changed and initial amounts by the initial amount?,"A growth rate expresses the relationship between two measurements of the same quantity taken at different times, typically by dividing the difference between the changed and initial amounts by the initial amount.",2026-02-20 05:28:19.559964,definition,2
138,What is commonly used as the initial amount when calculating growth rates and why?,"When calculating growth rates, it is common to use the earlier value as the initial amount since it represents the starting point over time.",2026-02-20 05:28:19.559964,concept_check,1
139,What alternative method can be used to calculate the same growth rate value when comparing changed and initial amounts?,"Subtracting one from the ratio of the changed amount to the initial amount yields the same growth rate value, providing an alternative way to express it.",2026-02-20 05:28:19.559964,application,2
140,Do growth rates change when measurements are expressed in different units?,Growth rates remain consistent even if the measurements are expressed in different units.,2026-02-20 05:28:19.559964,concept_check,2
141,What does a negative growth rate indicate?,"A growth rate can be negative, indicating a decrease. For example, the number of manufacturing jobs in the US decreased by 22.2% from 2002 to 2012.",2026-02-20 05:28:19.559964,definition,1
142,What is an annual growth rate?,An annual growth rate is the rate at which a quantity grows over a single year.,2026-02-20 05:28:19.559964,definition,2
143,What happens when an annual growth rate is compounded over a period?,"An annual growth rate compounded over a period, such as 0.035 over 10 years, results in a much larger overall growth rate, like 0.41 over ten years.",2026-02-20 05:28:19.559964,application,3
144,What is a growth rate used to describe?,A growth rate is used to describe the relative size of an initial amount compared to a changed amount after a certain period of time.,2026-02-20 05:28:19.559964,definition,1
145,How can the equivalent annual growth rate over a period be computed?,The equivalent annual growth rate over a period can be computed by applying the growth rate repeatedly using exponentiation.,2026-02-20 05:28:19.559964,concept_check,2
146,How do you compute the annual growth rate from total growth over a number of years?,"To compute the annual growth rate g from total growth over t years, raise the total growth to the power of 1/t and subtract one.",2026-02-20 05:28:19.559964,application,3
147,How can a ten-year growth be expressed as an equivalent annual growth rate?,"A ten-year growth can be expressed as an equivalent annual growth rate by using an exponent, where t represents the number of years.",2026-02-20 05:28:19.559964,concept_check,2
148,What does exponential growth involve in terms of a formula?,"Exponential growth involves applying a growth rate multiple times over a period, reflected in the formula (initial * (1 + g)^t).",2026-02-20 05:28:19.559964,application,3
149,What are call expressions used for?,"Call expressions are used to invoke functions, with the function name followed by expressions in parentheses.",2026-02-20 05:28:19.559964,definition,1
150,What does the max function do?,The max function can take any number of arguments and returns the maximum value among them.,2026-02-20 05:28:19.559964,concept_check,1
151,What is the difference between basic functions like abs and other built-in functions in Python?,"Basic functions like abs and round are available by default in Python, whereas most built-in functions are accessed through modules.",2026-02-20 05:28:19.559964,concept_check,2
152,How do you access functions from modules in Python?,"An import statement is used to access functions from modules, such as math or operator.",2026-02-20 05:28:19.559964,application,2
153,How can operators and call expressions be used in expressions?,Operators and call expressions can be combined in expressions to perform various operations.,2026-02-20 05:28:19.559964,application,3
154,What is percent difference and how is it calculated?,"Percent difference is 100 times the absolute value of the difference between two values, divided by their average.",2026-02-20 05:28:19.559964,definition,2
155,What happens to the percent difference when the difference between two values is larger than their average?,"In cases where the difference between two values is larger than their average, the percent difference will be greater than 100.",2026-02-20 05:28:19.559964,concept_check,2
156,How can Jupyter notebooks assist users in remembering the names and effects of functions in a programming language?,Jupyter notebooks can help users remember the names and effects of different functions in a programming language.,2026-02-20 05:28:19.559964,application,1
157,What happens when you press the tab key in a Jupyter notebook after typing the beginning of a name?,Pressing the tab key in a Jupyter notebook after typing the beginning of a name provides a list of possible name completions.,2026-02-20 05:28:19.559964,application,1
158,How can tab completion in Jupyter notebooks help find available functions in a module?,"Using tab completion in Jupyter notebooks can help find available functions in a module, such as functions in the math module.",2026-02-20 05:28:19.559964,application,1
159,What does using a question mark (?) after a function name in Python provide?,Using a question mark (?) after a function name in Python provides a description of that function.,2026-02-20 05:28:19.559964,concept_check,1
160,"How can placing a question mark after a function, such as math.log?, assist users?","Placing a question mark after a function, such as math.log?, can help users learn more about the specific function's usage and parameters.",2026-02-20 05:28:19.559964,application,1
161,What is noted about the math module in Python?,"The math module in Python includes many functions, but only a few are commonly used in data science.",2026-02-20 05:28:19.559964,definition,2
162,What is more beneficial than attempting to memorize essential functions?,It's more beneficial to learn the use of essential functions in their context rather than attempting to memorize them.,2026-02-20 05:28:19.559964,concept_check,2
163,What is a fundamental way of representing data sets in Python?,Tables are a fundamental way of representing data sets in Python.,2026-02-20 05:28:19.559964,concept_check,1
164,How can a table be viewed in terms of structure?,"A table can be viewed as either a sequence of named columns describing attributes, or a sequence of rows containing individual information.",2026-02-20 05:28:19.559964,concept_check,2
165,What does each row in a table correspond to?,"In a table, each row corresponds to a single individual entry with all its associated information.",2026-02-20 05:28:19.559964,definition,1
166,What type of data does each column in a table contain?,Each column in a table contains data related to a specific attribute of the data set.,2026-02-20 05:28:19.559964,concept_check,2
167,"What does each column in a table have, and what does it contain?",Each column in a table has a label and contains entries of the same kind.,2026-02-20 05:28:19.559964,concept_check,1
168,How is a table method used in relation to a table?,A table method operates on a table and is used in the form nameoftable.method(arguments).,2026-02-20 05:28:19.559964,definition,2
169,What does the show method do when displaying rows from a table?,"The show method displays a specified number of rows from a table, but it will show only up to six rows even if a higher number is requested.",2026-02-20 05:28:19.559964,application,2
170,"What does the select method do, and how does it affect the original table?","The select method creates a new table containing only the columns specified, leaving the original table unchanged.",2026-02-20 05:28:19.559964,application,2
171,How can you select multiple columns in a table using the select method?,You can select multiple columns in a table by using the select method and separating column labels with commas.,2026-02-20 05:28:19.559964,application,2
172,What does the drop method do to a table without changing the original?,"The drop method creates a smaller table by removing specified columns, leaving the original table unchanged.",2026-02-20 05:28:19.559964,concept_check,1
173,What does sorting rows involve when using the sort method?,"Sorting rows involves arranging them in ascending order based on values in a specified column, using the sort method.",2026-02-20 05:28:19.559964,definition,2
174,How can you sort in descending order using the sort method?,The sort method can sort in descending order by using an optional argument named descendingTrue.,2026-02-20 05:28:19.559964,application,2
175,What do optional arguments allow you to do with methods like sort?,Optional arguments allow you to modify the default behavior of methods like sort without being mandatory to use.,2026-02-20 05:28:19.559964,concept_check,2
176,What do both select and drop methods enable you to do?,"Both select and drop methods enable the creation of smaller tables from a larger one, without affecting the original.",2026-02-20 05:28:19.559964,definition,1
177,What does the where method create when a condition is satisfied?,The where method creates a new table consisting only of the rows that satisfy a specified condition.,2026-02-20 05:28:19.559964,concept_check,2
178,What two arguments are required by the where method?,The where method requires two arguments: the label of the column and the value to look for in that column.,2026-02-20 05:28:19.559964,definition,1
179,What happens to the where method call when dealing with complex conditions?,"The where method can be used for complex conditions, but the call will be more complicated.",2026-02-20 05:28:19.559964,application,3
180,Why is it important to provide the exact value when using the where method?,It is important to provide the exact value when using the where method for it to work correctly.,2026-02-20 05:28:19.559964,concept_check,2
